Length,Method,Size,Cmpr,Date    Time,CRC-32,Name
257325,Defl:X,74619,71%,2024-01-05 19:00,25f8921e,pcd/issues/2020/20_0097.htm
268667,Defl:X,77808,71%,2024-01-05 19:00,ec7d6468,pcd/issues/2020/20_0098.htm
266448,Defl:X,82711,69%,2024-01-05 19:00,da525ab7,pcd/issues/2020/20_0099.htm
262613,Defl:X,78806,70%,2024-01-05 19:00,4ccb25c0,pcd/issues/2020/20_0105.htm
218693,Defl:X,69005,68%,2024-01-05 19:00,d51c7ea6,pcd/issues/2020/20_0107.htm
238309,Defl:X,73943,69%,2024-01-05 19:00,ce4453a7,pcd/issues/2020/20_0110.htm
240442,Defl:X,74829,69%,2024-01-05 19:00,574aec40,pcd/issues/2020/20_0111.htm
291794,Defl:X,80876,72%,2024-01-05 19:00,00513d7c,pcd/issues/2020/20_0112.htm
229235,Defl:X,71005,69%,2024-01-05 19:00,878508d7,pcd/issues/2020/20_0116.htm
241760,Defl:X,75446,69%,2024-01-05 19:00,cb5aeac3,pcd/issues/2020/20_0118.htm
230352,Defl:X,71863,69%,2024-01-05 19:00,5c2ff240,pcd/issues/2020/20_0121.htm
253636,Defl:X,75044,70%,2024-01-05 19:00,e1331139,pcd/issues/2020/20_0122.htm
249910,Defl:X,77332,69%,2024-01-05 19:00,889c7d3f,pcd/issues/2020/20_0123.htm
196171,Defl:X,64146,67%,2024-01-05 19:00,cdc8aedb,pcd/issues/2020/20_0124.htm
215281,Defl:X,69467,68%,2024-01-05 19:00,73cb8d2f,pcd/issues/2020/20_0125.htm
216484,Defl:X,68380,68%,2024-01-05 19:00,6298120d,pcd/issues/2020/20_0130.htm
238771,Defl:X,72955,69%,2024-01-05 19:00,c1698f0f,pcd/issues/2020/20_0133.htm
221162,Defl:X,69872,68%,2024-01-05 19:00,14c9a124,pcd/issues/2020/20_0137.htm
272088,Defl:X,78643,71%,2024-01-05 19:00,9ccacb02,pcd/issues/2020/20_0148.htm
252432,Defl:X,75929,70%,2024-01-05 19:00,58232820,pcd/issues/2020/20_0152.htm
286998,Defl:X,80364,72%,2024-01-05 19:00,f2ab6c7f,pcd/issues/2020/20_0155.htm
207327,Defl:X,66908,68%,2024-01-05 19:00,151cd77b,pcd/issues/2020/20_0156.htm
