Length,Method,Size,Cmpr,Date    Time,CRC-32,Name
386432,Defl:X,115779,70%,2024-01-05 19:00,e4964173,eid/article/7/7/01-7738_article.html
381110,Defl:X,114386,70%,2024-01-05 19:00,cc742e51,eid/article/7/7/01-7739_article.html
400226,Defl:X,119387,70%,2024-01-05 19:00,7b2ed963,eid/article/7/7/01-7740_article.html
366634,Defl:X,113136,69%,2024-01-05 19:00,7ed9f0c1,eid/article/7/7/01-7741_article.html
377911,Defl:X,114505,70%,2024-01-05 19:00,99e32fc4,eid/article/7/7/01-7742_article.html
371796,Defl:X,113426,70%,2024-01-05 19:00,f8dec2e8,eid/article/7/7/01-7743_article.html
349965,Defl:X,109675,69%,2024-01-05 19:00,f9ed6e01,eid/article/7/7/01-7744_article.html
342399,Defl:X,106591,69%,2024-01-05 19:00,82fd7555,eid/article/7/7/01-7746_article.html
338394,Defl:X,105932,69%,2024-01-05 19:00,35627761,eid/article/7/7/01-7747_article.html
327427,Defl:X,102842,69%,2024-01-05 19:00,db03060d,eid/article/7/7/01-7748_article.html
327535,Defl:X,103138,69%,2024-01-05 19:00,097b8b71,eid/article/7/7/01-7749_article.html
341374,Defl:X,107547,69%,2024-01-05 19:00,2bce6ddf,eid/article/7/7/01-7750_article.html
325414,Defl:X,102708,68%,2024-01-05 19:00,35e98e02,eid/article/7/7/ac-0707_article.html
335545,Defl:X,106521,68%,2024-01-05 19:00,59a5941c,eid/article/7/7/ad-0707_article.html
398923,Defl:X,115065,71%,2024-01-05 19:00,4217ffaf,eid/article/8/1/00-0454_article.html
376536,Defl:X,116883,69%,2024-01-05 19:00,a1af0349,eid/article/8/1/00-1481_article.html
351712,Defl:X,108829,69%,2024-01-05 19:00,423f06d2,eid/article/8/1/01-0017_article.html
352475,Defl:X,108549,69%,2024-01-05 19:00,4d9f7631,eid/article/8/1/01-0018_article.html
390973,Defl:X,116323,70%,2024-01-05 19:00,7b305e93,eid/article/8/1/01-0021_article.html
397072,Defl:X,118561,70%,2024-01-05 19:00,fafb659f,eid/article/8/1/01-0049_article.html
373347,Defl:X,113822,70%,2024-01-05 19:00,64f3af18,eid/article/8/1/01-0067_article.html
373169,Defl:X,112507,70%,2024-01-05 19:00,0ffb1261,eid/article/8/1/01-0087_article.html
351172,Defl:X,109168,69%,2024-01-05 19:00,1be59d37,eid/article/8/1/01-0091_article.html
413469,Defl:X,120946,71%,2024-01-05 19:00,dba98f9b,eid/article/8/1/01-0104_article.html
366414,Defl:X,112090,69%,2024-01-05 19:00,d4076f4e,eid/article/8/1/01-0108_article.html
371503,Defl:X,112208,70%,2024-01-05 19:00,ea7b4b00,eid/article/8/1/01-0129_article.html
349581,Defl:X,109712,69%,2024-01-05 19:00,d234fa53,eid/article/8/1/01-0130_article.html
379215,Defl:X,116031,69%,2024-01-05 19:00,afd7ce2b,eid/article/8/1/01-0131_article.html
369486,Defl:X,112705,70%,2024-01-05 19:00,ca19a59b,eid/article/8/1/01-0143_article.html
391560,Defl:X,115595,71%,2024-01-05 19:00,e484dce2,eid/article/8/1/01-0144_article.html
348314,Defl:X,107531,69%,2024-01-05 19:00,91e096fc,eid/article/8/1/01-0149_article.html
367318,Defl:X,111220,70%,2024-01-05 19:00,4fdc3689,eid/article/8/1/01-0151_article.html
356771,Defl:X,109515,69%,2024-01-05 19:00,0ff261b9,eid/article/8/1/01-0167_article.html
356039,Defl:X,109688,69%,2024-01-05 19:00,cae136e4,eid/article/8/1/01-0174_article.html
396932,Defl:X,118318,70%,2024-01-05 19:00,e837390b,eid/article/8/1/01-0176_article.html
358569,Defl:X,109916,69%,2024-01-05 19:00,710bdd46,eid/article/8/1/01-0193_article.html
344342,Defl:X,106509,69%,2024-01-05 19:00,7acc71c5,eid/article/8/1/01-0252_article.html
362159,Defl:X,110070,70%,2024-01-05 19:00,176e3858,eid/article/8/1/01-0269_article.html
336931,Defl:X,104840,69%,2024-01-05 19:00,0c96f9ea,eid/article/8/1/01-0356_article.html
333233,Defl:X,104576,69%,2024-01-05 19:00,b73b63a1,eid/article/8/1/01-0367_article.html
328235,Defl:X,103751,68%,2024-01-05 19:00,3ee609e8,eid/article/8/1/01-0411_article.html
322597,Defl:X,101320,69%,2024-01-05 19:00,905cae69,eid/article/8/1/03-0101_article.html
331734,Defl:X,104329,69%,2024-01-05 19:00,de530787,eid/article/8/1/03-0102_article.html
324961,Defl:X,102335,69%,2024-01-05 19:00,92175683,eid/article/8/1/ac-0801_article.html
330982,Defl:X,103978,69%,2024-01-05 19:00,db7e31ff,eid/article/8/10/01-0509_article.html
348936,Defl:X,110496,68%,2024-01-05 19:00,f5b9cf6b,eid/article/8/10/02-0173_article.html
418082,Defl:X,121644,71%,2024-01-05 19:00,0c670bda,eid/article/8/10/02-0223_article.html
366024,Defl:X,113247,69%,2024-01-05 19:00,76f85958,eid/article/8/10/02-0322_article.html
385948,Defl:X,117330,70%,2024-01-05 19:00,7b79f3ee,eid/article/8/10/02-0329_article.html
389722,Defl:X,116797,70%,2024-01-05 19:00,ebb8b980,eid/article/8/10/02-0330_article.html
384141,Defl:X,115781,70%,2024-01-05 19:00,2ed2a98f,eid/article/8/10/02-0331_article.html
380082,Defl:X,114709,70%,2024-01-05 19:00,dd1c84b9,eid/article/8/10/02-0332_article.html
355907,Defl:X,110184,69%,2024-01-05 19:00,6754cf23,eid/article/8/10/02-0345_article.html
364078,Defl:X,112660,69%,2024-01-05 19:00,e460b868,eid/article/8/10/02-0346_article.html
395529,Defl:X,118662,70%,2024-01-05 19:00,5642ca90,eid/article/8/10/02-0349_article.html
431934,Defl:X,126250,71%,2024-01-05 19:00,323a8ebd,eid/article/8/10/02-0353_article.html
372711,Defl:X,115132,69%,2024-01-05 19:00,df7cebac,eid/article/8/10/02-0354_article.html
367708,Defl:X,112934,69%,2024-01-05 19:00,0f897ee1,eid/article/8/10/02-0355_article.html
360224,Defl:X,111991,69%,2024-01-05 19:00,6486e325,eid/article/8/10/02-0356_article.html
333729,Defl:X,105768,68%,2024-01-05 19:00,12007899,eid/article/8/10/02-0362_article.html
377516,Defl:X,116640,69%,2024-01-05 19:00,d5e5fb4a,eid/article/8/10/02-0376_article.html
414345,Defl:X,122723,70%,2024-01-05 19:00,ce9065f1,eid/article/8/10/02-0380_article.html
378401,Defl:X,115491,70%,2024-01-05 19:00,f369b5ea,eid/article/8/10/02-0382_article.html
348922,Defl:X,109249,69%,2024-01-05 19:00,28a9f437,eid/article/8/10/02-0389_article.html
350842,Defl:X,109362,69%,2024-01-05 19:00,1287b19b,eid/article/8/10/02-0390_article.html
426574,Defl:X,117630,72%,2024-01-05 19:00,efd5c90e,eid/article/8/10/02-0391_article.html
382009,Defl:X,114491,70%,2024-01-05 19:00,b13a56c3,eid/article/8/10/02-0392_article.html
379408,Defl:X,113193,70%,2024-01-05 19:00,c5367a19,eid/article/8/10/02-0393_article.html
378344,Defl:X,113351,70%,2024-01-05 19:00,6e9361b2,eid/article/8/10/02-0394_article.html
367656,Defl:X,113054,69%,2024-01-05 19:00,67e4fb69,eid/article/8/10/02-0398_article.html
364162,Defl:X,113566,69%,2024-01-05 19:00,18ef0a7b,eid/article/8/10/02-0399_article.html
375026,Defl:X,113570,70%,2024-01-05 19:00,d6f4c404,eid/article/8/10/02-0400_article.html
328465,Defl:X,103404,69%,2024-01-05 19:00,be6dfd57,eid/article/8/10/02-0407_article.html
390405,Defl:X,112853,71%,2024-01-05 19:00,a23bcc50,eid/article/8/10/02-0444_article.html
346566,Defl:X,108744,69%,2024-01-05 19:00,934926b9,eid/article/8/10/02-0465_article.html
335360,Defl:X,105856,68%,2024-01-05 19:00,e6ec9b62,eid/article/8/10/02-0466_article.html
360044,Defl:X,110460,69%,2024-01-05 19:00,ca2fef4d,eid/article/8/10/02-1001_article.html
331162,Defl:X,104171,69%,2024-01-05 19:00,aff926a3,eid/article/8/10/ac-0810_article.html
322349,Defl:X,101279,69%,2024-01-05 19:00,71e7fd63,eid/article/8/10/c1-0810_article.html
353439,Defl:X,109561,69%,2024-01-05 19:00,d5cb2d98,eid/article/8/11/02-0017_article.html
400604,Defl:X,117872,71%,2024-01-05 19:00,8959645a,eid/article/8/11/02-0021_article.html
380607,Defl:X,113780,70%,2024-01-05 19:00,50b7fbfe,eid/article/8/11/02-0064_article.html
357760,Defl:X,110924,69%,2024-01-05 19:00,a6194959,eid/article/8/11/02-0125_article.html
388588,Defl:X,114498,71%,2024-01-05 19:00,5b40b88e,eid/article/8/11/02-0174_article.html
363438,Defl:X,110724,70%,2024-01-05 19:00,b00197fb,eid/article/8/11/02-0245_article.html
418062,Defl:X,119810,71%,2024-01-05 19:00,5fce2040,eid/article/8/11/02-0261_article.html
372817,Defl:X,111452,70%,2024-01-05 19:00,99bb1a57,eid/article/8/11/02-0284_article.html
403307,Defl:X,117483,71%,2024-01-05 19:00,39560a8d,eid/article/8/11/02-0288_article.html
369728,Defl:X,110878,70%,2024-01-05 19:00,3ff1d6d9,eid/article/8/11/02-0291_article.html
364072,Defl:X,110554,70%,2024-01-05 19:00,985b64dc,eid/article/8/11/02-0292_article.html
373644,Defl:X,114889,69%,2024-01-05 19:00,79df1349,eid/article/8/11/02-0296_article.html
367760,Defl:X,111231,70%,2024-01-05 19:00,6fd9d104,eid/article/8/11/02-0298_article.html
359608,Defl:X,110371,69%,2024-01-05 19:00,d9f73134,eid/article/8/11/02-0299_article.html
368737,Defl:X,111847,70%,2024-01-05 19:00,1f6b68a0,eid/article/8/11/02-0302_article.html
371009,Defl:X,112635,70%,2024-01-05 19:00,d244bc0a,eid/article/8/11/02-0306_article.html
399230,Defl:X,116921,71%,2024-01-05 19:00,61dcc439,eid/article/8/11/02-0313_article.html
397861,Defl:X,116217,71%,2024-01-05 19:00,42d76030,eid/article/8/11/02-0316_article.html
402059,Defl:X,117874,71%,2024-01-05 19:00,40db5e43,eid/article/8/11/02-0318_article.html
374730,Defl:X,114332,70%,2024-01-05 19:00,fbfb1eb9,eid/article/8/11/02-0370_article.html
379959,Defl:X,114079,70%,2024-01-05 19:00,d5e77097,eid/article/8/11/02-0387_article.html
372539,Defl:X,113188,70%,2024-01-05 19:00,6cbff84f,eid/article/8/11/02-0401_article.html
443008,Defl:X,120559,73%,2024-01-05 19:00,6de15e66,eid/article/8/11/02-0402_article.html
410857,Defl:X,119266,71%,2024-01-05 19:00,3053a3e0,eid/article/8/11/02-0403_article.html
379880,Defl:X,113171,70%,2024-01-05 19:00,8050e4e0,eid/article/8/11/02-0408_article.html
399984,Defl:X,117334,71%,2024-01-05 19:00,6058aedf,eid/article/8/11/02-0419_article.html
372453,Defl:X,113646,70%,2024-01-05 19:00,cf8e2247,eid/article/8/11/02-0420_article.html
329445,Defl:X,103525,69%,2024-01-05 19:00,ea77704f,eid/article/8/11/02-0422_article.html
376976,Defl:X,114256,70%,2024-01-05 19:00,839dc686,eid/article/8/11/02-0424_article.html
327650,Defl:X,103338,69%,2024-01-05 19:00,6d05625b,eid/article/8/11/02-0430_article.html
334567,Defl:X,104975,69%,2024-01-05 19:00,fdcac60d,eid/article/8/11/02-0468_article.html
345553,Defl:X,106998,69%,2024-01-05 19:00,c86e0a53,eid/article/8/11/02-0492_article.html
394513,Defl:X,117216,70%,2024-01-05 19:00,00c5107b,eid/article/8/11/02-0507_article.html
350935,Defl:X,108275,69%,2024-01-05 19:00,4fcc3aa1,eid/article/8/11/02-0513_article.html
378155,Defl:X,120064,68%,2024-01-05 19:00,004afd91,eid/article/8/11/02-0549_article.html
331472,Defl:X,104263,69%,2024-01-05 19:00,71652c4a,eid/article/8/11/ac-0811_article.html
323124,Defl:X,101419,69%,2024-01-05 19:00,984abc08,eid/article/8/11/c1-0811_article.html
403889,Defl:X,118029,71%,2024-01-05 19:00,5b79f4ea,eid/article/8/12/01-0317_article.html
393049,Defl:X,116117,71%,2024-01-05 19:00,fa97fbdf,eid/article/8/12/01-0421_article.html
401589,Defl:X,118805,70%,2024-01-05 19:00,034f1793,eid/article/8/12/01-0485_article.html
388780,Defl:X,115493,70%,2024-01-05 19:00,04e446d4,eid/article/8/12/01-0497_article.html
401725,Defl:X,118239,71%,2024-01-05 19:00,4fbac7a1,eid/article/8/12/01-0514_article.html
357196,Defl:X,110241,69%,2024-01-05 19:00,b7b081d9,eid/article/8/12/01-0518_article.html
378349,Defl:X,114062,70%,2024-01-05 19:00,6c94c8df,eid/article/8/12/01-0519_article.html
354970,Defl:X,109197,69%,2024-01-05 19:00,2d066166,eid/article/8/12/01-0527_article.html
463497,Defl:X,125942,73%,2024-01-05 19:00,ab495625,eid/article/8/12/01-0533_article.html
405408,Defl:X,117703,71%,2024-01-05 19:00,9793ff6b,eid/article/8/12/02-0035_article.html
397656,Defl:X,117627,70%,2024-01-05 19:00,e3910754,eid/article/8/12/02-0039_article.html
344321,Defl:X,107436,69%,2024-01-05 19:00,2b132fae,eid/article/8/12/02-0052_article.html
394699,Defl:X,115295,71%,2024-01-05 19:00,134770fd,eid/article/8/12/02-0070_article.html
412428,Defl:X,117902,71%,2024-01-05 19:00,a357e99b,eid/article/8/12/02-0077_article.html
362146,Defl:X,109670,70%,2024-01-05 19:00,c079d784,eid/article/8/12/02-0081_article.html
366823,Defl:X,111931,70%,2024-01-05 19:00,3e6981d2,eid/article/8/12/02-0085_article.html
345690,Defl:X,106846,69%,2024-01-05 19:00,979c9a0e,eid/article/8/12/02-0089_article.html
356495,Defl:X,110171,69%,2024-01-05 19:00,f67b572a,eid/article/8/12/02-0105_article.html
360383,Defl:X,109937,70%,2024-01-05 19:00,0f7e77f6,eid/article/8/12/02-0111_article.html
353394,Defl:X,108935,69%,2024-01-05 19:00,521d841e,eid/article/8/12/02-0115_article.html
357963,Defl:X,109464,69%,2024-01-05 19:00,6ee32e79,eid/article/8/12/02-0118_article.html
350167,Defl:X,108678,69%,2024-01-05 19:00,f8e9c7f3,eid/article/8/12/02-0139_article.html
405051,Defl:X,117313,71%,2024-01-05 19:00,3c88d3ec,eid/article/8/12/02-0170_article.html
343705,Defl:X,108407,69%,2024-01-05 19:00,eb205985,eid/article/8/12/02-0176_article.html
413811,Defl:X,116042,72%,2024-01-05 19:00,b0b0d7b5,eid/article/8/12/02-0178_article.html
381573,Defl:X,114346,70%,2024-01-05 19:00,35258eb9,eid/article/8/12/02-0180_article.html
346565,Defl:X,108162,69%,2024-01-05 19:00,17820bd3,eid/article/8/12/02-0194_article.html
372596,Defl:X,113824,70%,2024-01-05 19:00,5d6ac05f,eid/article/8/12/02-0195_article.html
396764,Defl:X,117630,70%,2024-01-05 19:00,a67aefa0,eid/article/8/12/02-0224_article.html
375312,Defl:X,113598,70%,2024-01-05 19:00,d898cd25,eid/article/8/12/02-0229_article.html
400203,Defl:X,119042,70%,2024-01-05 19:00,6fd64eb5,eid/article/8/12/02-0234_article.html
374142,Defl:X,114085,70%,2024-01-05 19:00,e56b8c53,eid/article/8/12/02-0532_article.html
404770,Defl:X,117076,71%,2024-01-05 19:00,2a1e1d58,eid/article/8/12/02-0536_article.html
327774,Defl:X,103276,69%,2024-01-05 19:00,a644d1df,eid/article/8/12/02-0624_article.html
335489,Defl:X,105585,69%,2024-01-05 19:00,085d2930,eid/article/8/12/02-0717_article.html
331312,Defl:X,104224,69%,2024-01-05 19:00,95fa7378,eid/article/8/12/ac-0812_article.html
321877,Defl:X,101687,68%,2024-01-05 19:00,2fad2e8e,eid/article/8/12/c1-0812_article.html
408973,Defl:X,120503,71%,2024-01-05 19:00,da70d488,eid/article/8/2/01-0023_article.html
449357,Defl:X,121325,73%,2024-01-05 19:00,3edc2942,eid/article/8/2/01-0025_article.html
417278,Defl:X,119435,71%,2024-01-05 19:00,e87d651d,eid/article/8/2/01-0102_article.html
364175,Defl:X,111480,69%,2024-01-05 19:00,11304479,eid/article/8/2/01-0119_article.html
346821,Defl:X,107147,69%,2024-01-05 19:00,fa2a8f7b,eid/article/8/2/01-0121_article.html
360796,Defl:X,111234,69%,2024-01-05 19:00,7fae66da,eid/article/8/2/01-0139_article.html
455577,Defl:X,126046,72%,2024-01-05 19:00,d2974c7a,eid/article/8/2/01-0141_article.html
383597,Defl:X,114463,70%,2024-01-05 19:00,1cf88154,eid/article/8/2/01-0145_article.html
386382,Defl:X,114995,70%,2024-01-05 19:00,40041e0c,eid/article/8/2/01-0148_article.html
403916,Defl:X,118673,71%,2024-01-05 19:00,94539c1f,eid/article/8/2/01-0150_article.html
409379,Defl:X,117432,71%,2024-01-05 19:00,822bb128,eid/article/8/2/01-0163_article.html
366571,Defl:X,111994,69%,2024-01-05 19:00,985bcc65,eid/article/8/2/01-0164_article.html
403512,Defl:X,121479,70%,2024-01-05 19:00,7811e15b,eid/article/8/2/01-0165_article.html
363499,Defl:X,111658,69%,2024-01-05 19:00,a6b59a12,eid/article/8/2/01-0177_article.html
433022,Defl:X,122551,72%,2024-01-05 19:00,1f67176d,eid/article/8/2/01-0198_article.html
349837,Defl:X,108598,69%,2024-01-05 19:00,6ff63c7c,eid/article/8/2/01-0206_article.html
431579,Defl:X,117386,73%,2024-01-05 19:00,916f88db,eid/article/8/2/01-0244_article.html
366611,Defl:X,111131,70%,2024-01-05 19:00,306f9951,eid/article/8/2/01-0256_article.html
354489,Defl:X,108684,69%,2024-01-05 19:00,b0a37f27,eid/article/8/2/01-0293_article.html
340759,Defl:X,106620,69%,2024-01-05 19:00,d873ccc8,eid/article/8/2/01-0299_article.html
359578,Defl:X,110109,69%,2024-01-05 19:00,c826a841,eid/article/8/2/01-0314_article.html
353289,Defl:X,110494,69%,2024-01-05 19:00,b0c16238,eid/article/8/2/01-0521_article.html
326589,Defl:X,103098,68%,2024-01-05 19:00,c58ab786,eid/article/8/2/01-2513_article.html
326690,Defl:X,102216,69%,2024-01-05 19:00,55999cdc,eid/article/8/2/02-0201_article.html
325767,Defl:X,102549,69%,2024-01-05 19:00,fcedc1d8,eid/article/8/2/ac-0802_article.html
325583,Defl:X,102238,69%,2024-01-05 19:00,3e7f52fe,eid/article/8/2/ad-0802_article.html
376293,Defl:X,113215,70%,2024-01-05 19:00,89b1d490,eid/article/8/3/01-0098_article.html
372051,Defl:X,113116,70%,2024-01-05 19:00,86c54e14,eid/article/8/3/01-0159_article.html
430189,Defl:X,123700,71%,2024-01-05 19:00,cfb98deb,eid/article/8/3/01-0166_article.html
430834,Defl:X,121413,72%,2024-01-05 19:00,5b9b974d,eid/article/8/3/01-0190_article.html
388118,Defl:X,115589,70%,2024-01-05 19:00,8aa15f83,eid/article/8/3/01-0192_article.html
406527,Defl:X,117041,71%,2024-01-05 19:00,e841c287,eid/article/8/3/01-0194_article.html
385590,Defl:X,114839,70%,2024-01-05 19:00,4f2cb94b,eid/article/8/3/01-0195_article.html
385263,Defl:X,117524,70%,2024-01-05 19:00,357e58bd,eid/article/8/3/01-0199_article.html
410266,Defl:X,117148,71%,2024-01-05 19:00,132cded6,eid/article/8/3/01-0200_article.html
453097,Defl:X,122470,73%,2024-01-05 19:00,2ff3613e,eid/article/8/3/01-0233_article.html
404869,Defl:X,118904,71%,2024-01-05 19:00,eb8fb531,eid/article/8/3/01-0238_article.html
381843,Defl:X,112228,71%,2024-01-05 19:00,51ae08c1,eid/article/8/3/01-0249_article.html
385134,Defl:X,115745,70%,2024-01-05 19:00,d42e93e1,eid/article/8/3/01-0250_article.html
338324,Defl:X,105752,69%,2024-01-05 19:00,de45ca71,eid/article/8/3/01-0258_article.html
347984,Defl:X,108317,69%,2024-01-05 19:00,3dbb1958,eid/article/8/3/01-0261_article.html
334687,Defl:X,106271,68%,2024-01-05 19:00,f3d79d5b,eid/article/8/3/01-0286_article.html
359919,Defl:X,110378,69%,2024-01-05 19:00,93695b63,eid/article/8/3/01-0301_article.html
357909,Defl:X,110002,69%,2024-01-05 19:00,a7012647,eid/article/8/3/01-0308_article.html
353423,Defl:X,108835,69%,2024-01-05 19:00,645f8773,eid/article/8/3/01-0316_article.html
377016,Defl:X,114297,70%,2024-01-05 19:00,f91da1df,eid/article/8/3/01-0330_article.html
348758,Defl:X,108418,69%,2024-01-05 19:00,3b749e54,eid/article/8/3/01-0372_article.html
325030,Defl:X,102277,69%,2024-01-05 19:00,97a6ab94,eid/article/8/3/ac-0803_article.html
389990,Defl:X,116574,70%,2024-01-05 19:00,63435271,eid/article/8/4/00-0218_article.html
367662,Defl:X,111429,70%,2024-01-05 19:00,f9a42c32,eid/article/8/4/00-0413_article.html
394579,Defl:X,115836,71%,2024-01-05 19:00,23a5574e,eid/article/8/4/00-0444_article.html
362488,Defl:X,110434,70%,2024-01-05 19:00,dc2aa2b5,eid/article/8/4/01-0103_article.html
